"","n","time_order_statistic_min","time_order_statistic_med","time_order_statistic_max"
"155",1550000,0.0160000000003492,0.0360000000000582,0.0180000000000291
"156",1560000,0.019999999999709,0.0379999999997381,0.0260000000002037
"157",1570000,0.0279999999998836,0.0339999999996508,0.0200000000004366
"158",1580000,0.0180000000000291,0.0340000000003784,0.0159999999996217
"159",1590000,0.0220000000001164,0.0400000000001455,0.0219999999993888
"160",1600000,0.0279999999998836,0.0380000000004657,0.0180000000000291
"161",1610000,0.0220000000001164,0.0340000000003784,0.0180000000000291
"162",1620000,0.0180000000000291,0.0400000000001455,0.0180000000000291
"163",1630000,0.019999999999709,0.0299999999995634,0.019999999999709
"164",1640000,0.019999999999709,0.0360000000000582,0.0160000000003492
"165",1650000,0.0180000000000291,0.0319999999999709,0.0200000000004366
"166",1660000,0.0279999999998836,0.0339999999996508,0.0259999999994761
"167",1670000,0.0180000000000291,0.0319999999999709,0.0260000000002037
"168",1680000,0.0260000000002037,0.0380000000004657,0.0180000000000291
"169",1690000,0.0279999999998836,0.0339999999996508,0.019999999999709
"170",1700000,0.019999999999709,0.0400000000001455,0.0220000000001164
"171",1710000,0.0239999999997963,0.0339999999996508,0.0260000000002037
"172",1720000,0.0220000000001164,0.0400000000001455,0.0200000000004366
"173",1730000,0.0180000000000291,0.0380000000004657,0.0180000000000291
"174",1740000,0.0220000000001164,0.0340000000003784,0.019999999999709
"175",1750000,0.0220000000001164,0.0339999999996508,0.019999999999709
"176",1760000,0.019999999999709,0.0339999999996508,0.0279999999998836
"177",1770000,0.0299999999995634,0.0400000000001455,0.00999999999985448
"178",1780000,0.019999999999709,0.0400000000001455,0.0160000000003492
"179",1790000,0.0180000000000291,0.0399999999994179,0.0180000000000291
"180",1800000,0.0239999999997963,0.0400000000001455,0.0260000000002037
"181",1810000,0.0260000000002037,0.0400000000001455,0.0220000000001164
"182",1820000,0.0220000000001164,0.0440000000002328,0.0219999999993888
"183",1830000,0.0260000000002037,0.0380000000004657,0.0220000000001164
"184",1840000,0.0279999999998836,0.0379999999997381,0.0160000000003492
"185",1850000,0.0220000000001164,0.0379999999997381,0.019999999999709
"186",1860000,0.0279999999998836,0.0400000000001455,0.0260000000002037
"187",1870000,0.0279999999998836,0.0400000000001455,0.0220000000001164
"188",1880000,0.0239999999997963,0.0439999999995052,0.0240000000005239
"189",1890000,0.030000000000291,0.0419999999998254,0.0180000000000291
"190",1900000,0.0279999999998836,0.0400000000001455,0.0319999999999709
"191",1910000,0.0279999999998836,0.0360000000000582,0.0260000000002037
"192",1920000,0.0220000000001164,0.0419999999998254,0.0219999999993888
"193",1930000,0.0319999999999709,0.0400000000001455,0.0260000000002037
"194",1940000,0.0220000000001164,0.0460000000006403,0.0279999999998836
"195",1950000,0.0220000000001164,0.0440000000002328,0.0239999999997963
"196",1960000,0.0279999999998836,0.0379999999997381,0.0260000000002037
"197",1970000,0.0220000000001164,0.0480000000003201,0.0180000000000291
"198",1980000,0.0319999999999709,0.05,0.0220000000001164
"199",1990000,0.0279999999998836,0.0440000000002328,0.0220000000001164
"200",2e+06,0.0240000000005239,0.0440000000002328,0.0259999999994761
"201",2010000,0.0299999999995634,0.05,0.0279999999998836
"202",2020000,0.0260000000002037,0.05,0.0260000000002037
"203",2030000,0.0360000000000582,0.0519999999996799,0.0279999999998836
"204",2040000,0.0240000000005239,0.0439999999995052,0.0260000000002037
"205",2050000,0.0319999999999709,0.0439999999995052,0.0239999999997963
"206",2060000,0.0279999999998836,0.0419999999998254,0.0260000000002037
"207",2070000,0.0160000000003492,0.0459999999999127,0.0219999999993888
"208",2080000,0.0319999999999709,0.0540000000000873,0.0220000000001164
"209",2090000,0.0360000000000582,0.0439999999995052,0.0260000000002037
"210",2100000,0.0260000000002037,0.0540000000000873,0.0299999999995634
"211",2110000,0.0279999999998836,0.0400000000001455,0.0319999999999709
"212",2120000,0.0379999999997381,0.05,0.0319999999999709
"213",2130000,0.0379999999997381,0.0459999999999127,0.0260000000002037
"214",2140000,0.0379999999997381,0.0459999999999127,0.0239999999997963
"215",2150000,0.0279999999998836,0.05,0.0379999999997381
"216",2160000,0.0279999999998836,0.05,0.0319999999999709
"217",2170000,0.0220000000001164,0.0479999999995925,0.0159999999996217
"218",2180000,0.0180000000000291,0.05,0.0259999999994761
"219",2190000,0.0279999999998836,0.05,0.0220000000001164
